2018
"time_stamp","angular_speed_x","angular_speed_y","angular_speed_z","acceleration_x","acceleration_y","acceleration_z","altitude","latitude","longitude","temperature","quaternion_w","quaternion_x","quaternion_y","quaternion_z","acquisition_board_state_1","acquisition_board_state_2","acquisition_board_state_3","power_supply_state_1","power_supply_state_2","payload_board_state_1","voltage","current"
0.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,50.0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,3.299999952316284,0.0010000000474974513
1.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,49.9605712890625,5.0,0.5,0.0,0.5,0,0,0,0,0,0,3.299999952316284,0.0010000000474974513
2.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,49.84291458129883,10.0,0.5,0.0,0.5,0,0,0,0,0,0,3.299999952316284,0.0010000000474974513
3.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,49.64888381958008,15.0,0.5,0.0,0.5,0,0,0,0,0,0,3.299999952316284,0.0010000000474974513
4.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,49.381534576416016,20.0,0.5,0.0,0.5,0,0,0,0,0,0,3.299999952316284,0.0010000000474974513
5.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,49.04508590698242,25.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
6.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,48.64484405517578,30.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
7.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,48.18711853027344,35.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
8.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,47.679134368896484,40.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
9.0,0.0,0.0,0.0,0.0,-9.800000190734863,0.0,0.0,32.99052429199219,-106.97525024414062,47.1288948059082,45.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
10.0,0.0,0.0,0.0,0.0,-0.4444444477558136,0.0,0.0,32.99052429199219,-106.97525024414062,46.54508590698242,50.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
11.0,0.0,0.0,0.0,0.0,-0.4444444477558136,0.0,30.12299919128418,32.990543365478516,-106.97522735595703,45.93690490722656,55.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
12.0,0.0,0.0,0.0,0.0,-0.4444444477558136,0.0,120.49199676513672,32.990562438964844,-106.97520446777344,45.3139533996582,60.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
13.0,0.0,0.0,0.0,0.0,-0.4444444477558136,0.0,271.10699462890625,32.990577697753906,-106.97518920898438,44.6860466003418,65.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
14.0,0.0,0.0,0.0,0.0,-0.4444444477558136,0.0,481.9679870605469,32.990596771240234,-106.97516632080078,44.06309127807617,70.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
15.0,0.0,0.0,0.0,0.0,-0.4444444477558136,0.0,676.2149658203125,32.99061584472656,-106.97514343261719,43.45491409301758,75.0,0.5,0.0,0.5,255,255,255,255,0,255,3.299999952316284,0.0010000000474974513
