2019
"time_stamp","latitude","longitude","ns_indicator","ew_indicator","utc_time","altitude","pressure","temperature","acceleration_x_uncomp","acceleration_y_uncomp","acceleration_z_uncomp","acceleration_x","acceleration_y","acceleration_z","magnetometer_x","magnetometer_y","magnetometer_z","angular_speed_x","angular_speed_y","angular_speed_z"
0.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,50.0,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
1.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,49.9605712890625,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
2.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,49.84291458129883,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
3.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,49.64888381958008,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
4.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,49.381534576416016,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
5.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,49.04508590698242,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
6.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,48.64484405517578,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
7.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,48.18711853027344,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
8.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,47.679134368896484,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
9.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,47.1288948059082,0,0,0,0.0,0.0,-9.800000190734863,90,4321,0,0,0,42
10.0,32.99052429199219,-106.97525024414062,"b'N'","b'W'",123.36000061035156,0.0,1013,46.54508590698242,0,0,0,0.0,0.0,-0.4444444477558136,90,4321,0,0,0,42
11.0,32.990543365478516,-106.97522735595703,"b'N'","b'W'",123.36000061035156,30.12299919128418,1013,45.93690490722656,0,0,0,0.0,0.0,-0.4444444477558136,90,4321,0,0,0,42
12.0,32.990562438964844,-106.97520446777344,"b'N'","b'W'",123.36000061035156,120.49199676513672,1013,45.3139533996582,0,0,0,0.0,0.0,-0.4444444477558136,90,4321,0,0,0,42
